Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Democratic People's Republic of Korea,211.9595487,686.2093,1054,2622.349842,10.15,3019.616273,830.7904107,338.8623949,45.94,27.7404678,1.664138355,0.363584465,5.227575201,6.666936346,100,3
Democratic Republic of the Congo,35.85207262,561.228616,1543,10705.60767,383,15261.43849,0.628871185,8.131503783,981.7,0.226883505,47.8500753,0.203333008,113.1234138,34.60781823,114.7058824,1.9
Denmark,134.0197111,61809.75089,703,1043.092589,0,1043.092589,3.476975296,186.8283136,2.302,29.06057328,261.6484002,1.085180871,1255.036597,554.5389453,83.03921569,0
Djibouti,41.33288793,3009.407574,220,312.8509797,0,312.8509797,,19.81389538,,6.333333333,,12.55895402,,158.1509473,150,2.9
Dominica,95.5,7413.637732,2083,2792.321117,0,2792.321117,,279.2321117,,10,,0.003445505,,15.53239734,,3.6
Dominican Republic,218.3509554,7470.23939,1410,2211.319112,0,2211.319112,213.199392,854.2184582,5.456,39.55331412,7.889256603,0.198026346,31.61040475,57.61462359,137.0027752,3.7
Ecuador,66.6394586,6427.997753,2274,25895.03217,0,25895.03217,450.2247026,580.5310331,296.2,6.782352941,9.240505477,0.651798673,57.93202656,42.21092394,100,3.2
Egypt,98.28109042,2513.199691,18.1,10.16016505,56.5,584.2094901,1708.906781,787.412791,2.6,141.1657559,4.584392349,0.665586496,22.13618016,18.1322142,185.0672122,2.5
El Salvador,305.1685361,4064.05821,1784,2434.296576,10.64,4091.424891,604.1354073,329.8682116,10.24,13.21272614,10.19117381,0.045848529,25.60334376,33.89406046,100,3.8
Equatorial Guinea,46.6657754,10141.12034,2156,19862.8698,0,19862.8698,,15.12633931,15.21,0.183503244,,,1994.095024,278.2038089,,0
Eritrea,28.35595478,1321.381592,384,810.93934,4.515,2118.579026,12.77519082,168.5595342,2.107,11.17511521,10.95620766,0.049674601,1673.953805,150.8141298,145.5853659,2.5
Estonia,29.17776798,23528.80437,626,9607.534847,0.096,9680.101593,137.9524083,1215.900107,3.566,17.40844156,13.78812106,0.123561544,3.496161072,270.3398955,105.1612903,1.1
Eswatini,65.45397465,3385.567253,788,2323.368955,1.87,3969.088632,514.8286383,939.9083501,3.133,77.55991285,3.591565144,0.112754712,65.94474468,57.07758156,101.4272971,3.1
Ethiopia,96.12773179,746.664248,848,1116.966395,0,1116.966395,288.2505737,96.57273144,89.3,32.25718654,4.879439168,0.079971147,413.3373543,36.50937405,,3.2
Faroe Islands,34.73997135,,,,0,0,,,,,,,,,,
Fiji,48.35703339,6069.463297,2592,32315.27941,0,32315.27941,150.5812789,96.09692546,,0.29737303,43.05124168,0.316344013,74.67117463,115.5094838,,
Finland,16.31725809,49955.34117,536,19375.0163,3,19918.24105,3368.536712,507.0097723,67.83,6.639791321,75.96048368,0.049272076,27.71976637,393.0752818,100,0.2
France,118.3610448,41168.65145,867,3077.372326,11,3246.627804,153.580882,415.552972,96.77,23.64265079,82.8244968,1.70933659,20.24498657,343.8649552,100.033406,2.5
Gabon,7.917491688,8219.383713,1831,77384.95476,2,78328.67372,103.8090857,65.6356537,138.3,0.502166065,95.14106281,0.220195525,477.1254223,76.71522435,141.2698413,0.7
Gambia,201.7782301,754.620604,836,1315.735228,5,3508.627276,,44.5595664,3.402,2.209656372,10.99021728,0.059603332,9.828273389,21.98811236,200,1.5
Georgia,57.43101865,4504.482259,1026,14521.8192,5.2,15820.86375,852.8477305,322.5427698,32.63,4.205602606,10.77985173,0.77455406,13.73347074,17.13517162,69.08247423,3.6
Germany,232.6785668,47993.47333,700,1287.227058,47,1852.64455,48.12063767,342.6458141,81.04,33.50191886,111.4076936,2.354657208,50.43901142,219.2628077,48.05033611,2.9
Ghana,124.7887231,2224.259481,1187,1017.902247,25.9,1887.990306,4988.875639,49.201968,33.26,6.314734089,29.89658368,0.194719799,182.4692035,87.59550046,221.27519,3
Greece,79.73814792,19577.7849,652,5512.131155,10.4,6500.513293,1171.04276,961.9619233,18.97,20.47744285,17.32217451,0.508656626,75.58110991,86.79357859,109.8712446,2.4
Grenade,327.8058824,10787.4004,2350,1794.462289,0,1794.462289,0.197390852,126.5095914,,7.05,,2.51247426,,64.34510772,100,
Guatemala,158.396997,4549.68037,1996,6331.224259,18.71,7415.997206,26.89263508,192.7254813,70.02,5.742097081,19.80908591,1.139948715,26.96039854,56.81152436,112.784364,3.5
Guinea,50.49334174,891.74539,1651,18204.82246,0,18204.82246,147.9745967,71.69155747,161,1.369230769,9.518558023,0.035086925,55.81286816,22.18127129,100,1.1
Guinea-Bissau,51.87663991,764.899506,1577,8536.506637,15.4,16752.89428,0,101.3710163,19.7,1.495726496,3.309483801,0.115898887,12.78422464,13.48915569,100,1
